raw_text,station_id,issue_time,bulletin_time,valid_time_from,valid_time_to,remarks,latitude,longitude,elevation_m,fcst_time_from_1,fcst_time_to_1,change_indicator_1,time_becoming,probability_1,wind_dir_degrees_1,wind_speed_kt_1,wind_gust_kt_1,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_1,altim_in_hg,vert_vis_ft,wx_string_1,not_decoded,sky_cover_1,cloud_base_ft_agl_1,cloud_type_1,sky_cover_2,cloud_base_ft_agl_2,cloud_type_2,sky_cover_3,cloud_base_ft_agl_3,cloud_type_3,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_2,fcst_time_to_2,change_indicator_2,time_becoming,probability_2,wind_dir_degrees_2,wind_speed_kt_2,wind_gust_kt_2,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_2,altim_in_hg,vert_vis_ft,wx_string_2,not_decoded,sky_cover_4,cloud_base_ft_agl_4,cloud_type_4,sky_cover_5,cloud_base_ft_agl_5,cloud_type_5,sky_cover_6,cloud_base_ft_agl_6,cloud_type_6,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_3,fcst_time_to_3,change_indicator_3,time_becoming,probability_3,wind_dir_degrees_3,wind_speed_kt_3,wind_gust_kt_3,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_3,altim_in_hg,vert_vis_ft,wx_string_3,not_decoded,sky_cover_7,cloud_base_ft_agl_7,cloud_type_7,sky_cover_8,cloud_base_ft_agl_8,cloud_type_8,sky_cover_9,cloud_base_ft_agl_9,cloud_type_9,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_4,fcst_time_to_4,change_indicator_4,time_becoming,probability_4,wind_dir_degrees_4,wind_speed_kt_4,wind_gust_kt_4,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_4,altim_in_hg,vert_vis_ft,wx_string_4,not_decoded,sky_cover_10,cloud_base_ft_agl_10,cloud_type_10,sky_cover_11,cloud_base_ft_agl_11,cloud_type_11,sky_cover_12,cloud_base_ft_agl_12,cloud_type_12,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_5,fcst_time_to_5,change_indicator_5,time_becoming,probability_5,wind_dir_degrees_5,wind_speed_kt_5,wind_gust_kt_5,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_5,altim_in_hg,vert_vis_ft,wx_string_5,not_decoded,sky_cover_13,cloud_base_ft_agl_13,cloud_type_13,sky_cover_14,cloud_base_ft_agl_14,cloud_type_14,sky_cover_15,cloud_base_ft_agl_15,cloud_type_15,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_6,fcst_time_to_6,change_indicator_6,time_becoming,probability_6,wind_dir_degrees_6,wind_speed_kt_6,wind_gust_kt_6,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_6,altim_in_hg,vert_vis_ft,wx_string_6,not_decoded,sky_cover_16,cloud_base_ft_agl_16,cloud_type_16,sky_cover_17,cloud_base_ft_agl_17,cloud_type_17,sky_cover_18,cloud_base_ft_agl_18,cloud_type_18,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_7,fcst_time_to_7,change_indicator_7,time_becoming,probability_7,wind_dir_degrees_7,wind_speed_kt_7,wind_gust_kt_7,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_7,altim_in_hg,vert_vis_ft,wx_string_7,not_decoded,sky_cover_19,cloud_base_ft_agl_19,cloud_type_19,sky_cover_20,cloud_base_ft_agl_20,cloud_type_20,sky_cover_21,cloud_base_ft_agl_21,cloud_type_21,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_8,fcst_time_to_8,change_indicator_8,time_becoming,probability_8,wind_dir_degrees_8,wind_speed_kt_8,wind_gust_kt_8,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_8,altim_in_hg,vert_vis_ft,wx_string_8,not_decoded,sky_cover_22,cloud_base_ft_agl_22,cloud_type_22,sky_cover_23,cloud_base_ft_agl_23,cloud_type_23,sky_cover_24,cloud_base_ft_agl_24,cloud_type_24,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c
TAF SBGW 050300Z 0506/0518 08005KT 4000 BR BKN007 TN12/0507Z TX22/0517Z TEMPO 0506/0510 0500 FG BKN002 BECMG 0512/0514 CAVOK RMK PEG,SBGW,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,,-22.792,-45.205,539,2025-07-05T06:00:00Z,2025-07-05T12:00:00Z,,,,80,5,,,,,2.49,,,BR,,BKN,700,,,,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,TEMPO,,,,,,,,,0.31,,,FG,,BKN,200,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T18:00:00Z,BECMG,1751724000,,80,5,,,,,6+,,,PE,,NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBJV 050300Z 0506/0518 27002KT 3500 BR BKN006 BKN015 TN10/0509Z TX20/0517Z BECMG 0513/0515 7000 SCT012 BKN020 BECMG 0516/0518 9999 BKN030 RMK PFP,SBJV,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PFP,-26.224,-48.797,3,2025-07-05T06:00:00Z,2025-07-05T13:00:00Z,,,,270,2,,,,,2.17,,,BR,,BKN,600,,BKN,1500,,,,,,,,,,,,,,,,,2025-07-05T13:00:00Z,2025-07-05T16:00:00Z,BECMG,1751727600,,270,2,,,,,4.35,,,BR,,SCT,1200,,BKN,2000,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-05T18:00:00Z,BECMG,1751738400,,270,2,,,,,6+,,,BR,,BKN,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBKG 050300Z 0506/0518 19006KT 8000 SCT020 TN19/0508Z TX26/0518Z BECMG 0510/0512 16012KT 9999 FEW023 BECMG 0514/0516 14012KT SCT023 RMK PGB,SBKG,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PGB,-7.27,-35.895,499,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,,,,190,6,,,,,4.97,,,,,SCT,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T10:00:00Z,2025-07-05T14:00:00Z,BECMG,1751716800,,160,12,,,,,6+,,,,,FEW,2300,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T18:00:00Z,BECMG,1751731200,,140,12,,,,,6+,,,,,SCT,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBME 050300Z 0506/0518 26010KT 8000 SCT017 TN13/0508Z TX24/0516Z PROB30 0506/0510 5000 BR FEW010 BECMG 0510/0512 24014KT 9999 FEW025 BECMG 0514/0516 19014KT SCT023 RMK PGB,SBME,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PGB,-22.343,-41.766,2,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,,,,260,10,,,,,4.97,,,,,SCT,1700,,,,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,PROB,,30,,,,,,,3.11,,,BR,,FEW,1000,,,,,,,,,,,,,,,,,,,,2025-07-05T10:00:00Z,2025-07-05T14:00:00Z,BECMG,1751716800,,240,14,,,,,6+,,,,,FEW,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T18:00:00Z,BECMG,1751731200,,190,14,,,,,6+,,,,,SCT,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBSC 050300Z 0506/0518 36006KT 9999 FEW030 TN14/0507Z TX22/0516Z PROB40 TEMPO 0506/0511 3000 BR BKN008 BECMG 0513/0515 14006KT RMK PEG,SBSC,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PEG,-22.932,-43.719,6,2025-07-05T06:00:00Z,2025-07-05T13:00:00Z,,,,360,6,,,,,6+,,,,,FEW,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T11:00:00Z,TEMPO,,40,,,,,,,1.86,,,BR,,BKN,800,,,,,,,,,,,,,,,,,,,,2025-07-05T13:00:00Z,2025-07-05T18:00:00Z,BECMG,1751727600,,140,6,,,,,6+,,,,,FEW,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBSM 050300Z 0506/0518 02001KT 3000 BR SCT030 TN07/0509Z TX15/0518Z PROB40 0507/0512 0600 FG BKN006 BECMG 0513/0515 9999 NSW FEW030 RMK PAD,SBSM,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PAD,-29.711,-53.688,86,2025-07-05T06:00:00Z,2025-07-05T13:00:00Z,,,,20,1,,,,,1.86,,,BR,,SCT,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T07:00:00Z,2025-07-05T12:00:00Z,PROB,,40,,,,,,,0.37,,,FG,,BKN,600,,,,,,,,,,,,,,,,,,,,2025-07-05T13:00:00Z,2025-07-05T18:00:00Z,BECMG,1751727600,,20,1,,,,,6+,,,NSW,,FEW,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBYS 050300Z 0506/0518 16006KT 8000 FEW040 TN10/0508Z TX23/0517Z BECMG 0510/0512 CAVOK RMK PEG,SBYS,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PEG,-21.982,-47.34,600,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,,,,160,6,,,,,4.97,,,,,FEW,4000,,,,,,,,,,,,,,,,,,,,2025-07-05T10:00:00Z,2025-07-05T18:00:00Z,BECMG,1751716800,,160,6,,,,,6+,,,NSW,,NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF KPAM 050300Z 0503/0609 36006KT 9999 FEW040 QNH2994INS BECMG 0512/0513 04012G18KT 9999 SCT025 QNH2997INS TEMPO 0518/0522 05009KT 8000 -SHRA BKN020 BECMG 0602/0603 VRB06KT 9999 BKN020 QNH2991INS TX34/0520Z TN25/0509Z,KPAM,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-06T09:00:00Z,,30.071,-85.577,4,2025-07-05T03:00:00Z,2025-07-05T12:00:00Z,,,,360,6,,,,,6+,,,,,FEW,4000,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-06T02:00:00Z,BECMG,1751720400,,40,12,18,,,,6+,,,,,SCT,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-05T22:00:00Z,TEMPO,,,50,9,,,,,4.97,,,-SHRA,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T09:00:00Z,BECMG,1751770800,,VRB,6,,,,,6+,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF OERS 050300Z 0504/0519 27016KT CAVOK BECMG 0512/0514 33010KT BECMG 0517/0519 VRB03KT,OERS,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T04:00:00Z,2025-07-05T19:00:00Z,,25.6287,37.0878,50,2025-07-05T04:00:00Z,2025-07-05T12:00:00Z,,,,270,16,,,,,6+,,,NSW,,NSC,,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T17:00:00Z,BECMG,1751724000,,330,10,,,,,6+,,,NSW,,NSC,,,,,,,,,,,,,,,,,,,,,2025-07-05T17:00:00Z,2025-07-05T19:00:00Z,BECMG,1751742000,,VRB,3,,,,,6+,,,NSW,,NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBMN 050300Z 0506/0518 35005KT 9999 SCT025 TN23/0506Z TX28/0516Z TEMPO 0506/0510 BKN008 BECMG 0513/0515 SCT025 FEW030TCU PROB40 0516/0518 6000 TSRA SCT025 FEW030CB RMK PFP,SBMN,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PFP,-3.146,-59.986,71,2025-07-05T06:00:00Z,2025-07-05T13:00:00Z,,,,350,5,,,,,6+,,,,,SCT,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,TEMPO,,,,,,,,,,,,,,BKN,800,,,,,,,,,,,,,,,,,,,,2025-07-05T13:00:00Z,2025-07-05T18:00:00Z,BECMG,1751727600,,350,5,,,,,6+,,,,,SCT,2500,,FEW,3000,TCU,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-05T18:00:00Z,PROB,,40,,,,,,,3.73,,,TSRA,,SCT,2500,,FEW,3000,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBNF 050300Z 0506/0606 26004KT 9999 SCT013 BKN025 TN12/0508Z TX20/0517Z TEMPO 0506/0510 3000 BR BKN004 BECMG 0514/0516 SCT030 PROB30 0603/0606 3000 BR BKN002 RMK PFP,SBNF,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,RMK PFP,-26.88,-48.651,5,2025-07-05T06:00:00Z,2025-07-05T14:00:00Z,,,,260,4,,,,,6+,,,,,SCT,1300,,BKN,2500,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,TEMPO,,,,,,,,,1.86,,,BR,,BKN,400,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-06T06:00:00Z,BECMG,1751731200,,260,4,,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T06:00:00Z,PROB,,30,,,,,,,1.86,,,BR,,BKN,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBFL 050300Z 0506/0606 34008KT 9999 SCT025 TN12/0508Z TX21/0517Z TEMPO 0506/0510 4000 BR BECMG 0512/0514 CAVOK BECMG 0600/0602 19005KT RMK PFP,SBFL,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,RMK PFP,-27.671,-48.547,5,2025-07-05T06:00:00Z,2025-07-05T12:00:00Z,,,,340,8,,,,,6+,,,,,SCT,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,TEMPO,,,,,,,,,2.49,,,BR,,,,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-06T00:00:00Z,BECMG,1751724000,,340,8,,,,,6+,,,NSW,,NSC,,,,,,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T06:00:00Z,BECMG,1751767200,,190,5,,,,,6+,,,NSW,,NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBNT 050300Z 0506/0518 19008KT 9999 FEW015 TN21/0508Z TX29/0515Z BECMG 0510/0512 17015KT SCT023 BECMG 0515/0517 14018KT 8000 SCT020 FEW030TCU RMK PGB,SBNT,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PGB,-5.911,-35.248,51,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,,,,190,8,,,,,6+,,,,,FEW,1500,,,,,,,,,,,,,,,,,,,,2025-07-05T10:00:00Z,2025-07-05T15:00:00Z,BECMG,1751716800,,170,15,,,,,6+,,,,,SCT,2300,,,,,,,,,,,,,,,,,,,,2025-07-05T15:00:00Z,2025-07-05T18:00:00Z,BECMG,1751734800,,140,18,,,,,4.97,,,,,SCT,2000,,FEW,3000,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF SBUG 050300Z 0506/0518 05002KT CAVOK TN09/0506Z TX19/0518Z RMK PAD,SBUG,2025-07-05T03:00:00Z,2025-07-05T03:00:00Z,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,RMK PAD,-29.782,-57.038,79,2025-07-05T06:00:00Z,2025-07-05T18:00:00Z,,,,50,2,,,,,6+,,,,,NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF KSUU 050255Z 0503/0609 23015G25KT 9999 SKC QNH2998INS TEMPO 0512/0514 FEW007 BECMG 0514/0515 23010G15KT 9999 FEW200 QNH3004INS BECMG 0518/0519 23015G25KT 9999 SKC QNH2997INS TX30/0523Z TN11/0511Z,KSUU,2025-07-05T02:55:00Z,2025-07-05T02:55:00Z,2025-07-05T03:00:00Z,2025-07-06T09:00:00Z,,38.25,-121.938,9,2025-07-05T03:00:00Z,2025-07-05T14:00:00Z,,,,230,15,25,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T14:00:00Z,TEMPO,,,,,,,,,,,,,,FEW,700,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T18:00:00Z,BECMG,1751727600,,230,10,15,,,,6+,,,,,FEW,20000,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T09:00:00Z,BECMG,1751742000,,230,15,25,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF CYCX 050240Z 0503/0515 26005KT P6SM SCT015 BKN080 TEMPO 0503/0508 P6SM -SHRA BKN015 OVC060 FM050800 29005KT P6SM BKN015 OVC050 TEMPO 0508/0511 SCT015 SCT050 FM051100 31008KT P6SM SCT040 RMK NXT FCST BY 050900Z,CYCX,2025-07-05T02:40:00Z,2025-07-05T02:40:00Z,2025-07-05T03:00:00Z,2025-07-05T15:00:00Z,RMK NXT FCST BY 050900Z,45.839,-66.45,46,2025-07-05T03:00:00Z,2025-07-05T08:00:00Z,,,,260,5,,,,,6+,,,,,SCT,1500,,BKN,8000,,,,,,,,,,,,,,,,,2025-07-05T03:00:00Z,2025-07-05T08:00:00Z,TEMPO,,,,,,,,,6+,,,-SHRA,,BKN,1500,,OVC,6000,,,,,,,,,,,,,,,,,2025-07-05T08:00:00Z,2025-07-05T11:00:00Z,FM,,,290,5,,,,,6+,,,,,BKN,1500,,OVC,5000,,,,,,,,,,,,,,,,,2025-07-05T08:00:00Z,2025-07-05T11:00:00Z,TEMPO,,,,,,,,,,,,,,SCT,1500,,SCT,5000,,,,,,,,,,,,,,,,,2025-07-05T11:00:00Z,2025-07-05T15:00:00Z,FM,,,310,8,,,,,6+,,,,,SCT,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHJH 050215Z 0502/0524 04014KT P6SM FEW030 SCT050 FM050600 06012KT P6SM SCT030 BKN045 FM052000 07019G27KT P6SM FEW030 SCT050,PHJH,2025-07-05T02:15:00Z,2025-07-05T02:15:00Z,2025-07-05T02:00:00Z,2025-07-06T00:00:00Z,AMD,20.963,-156.675,67,2025-07-05T02:00:00Z,2025-07-05T06:00:00Z,,,,40,14,,,,,6+,,,,,FEW,3000,,SCT,5000,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T20:00:00Z,FM,,,60,12,,,,,6+,,,,,SCT,3000,,BKN,4500,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T00:00:00Z,FM,,,70,19,27,,,,6+,,,,,FEW,3000,,SCT,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
