raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover_1,cloud_base_ft_agl_1,sky_cover_2,cloud_base_ft_agl_2,sky_cover_3,cloud_base_ft_agl_3,sky_cover_4,cloud_base_ft_agl_4,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KESC 051056Z AUTO 20005KT 7SM CLR 22/22 A2992 RMK AO2 SLP130 T02220222,KESC,2025-07-05T10:56:00Z,45.7225,-87.0893,22.2,22.2,200,5,,7,29.92,1013,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,180
KENV 051056Z AUTO 28005KT 10SM CLR 19/08 A3011 RMK AO2 SLP163 T01940083,KENV,2025-07-05T10:56:00Z,40.7211,-114.031,19.4,8.3,280,5,,10+,30.11,1016.3,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1291
KELZ 051056Z AUTO 00000KT 10SM CLR 16/12 A3020 RMK AO2 SLP219 T01560122 $,KELZ,2025-07-05T10:56:00Z,42.1077,-77.9842,15.6,12.2,0,0,,10+,30.20,1021.9,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,639
KEKY 051056Z AUTO 00000KT 9SM CLR 22/22 A3008 RMK AO2 SLP160 T02170217,KEKY,2025-07-05T10:56:00Z,33.314,-86.925,21.7,21.7,0,0,,9,30.08,1016,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,213
KEKQ 051056Z AUTO 00000KT 5SM HZ CLR 18/ A3015 RMK AO2 SLP196 T0183,KEKQ,2025-07-05T10:56:00Z,36.8576,-84.8562,18.3,,0,0,,5,30.15,1019.6,,TRUE,TRUE,,,,,,HZ,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,291
KEKO 051056Z AUTO 10003KT 10SM CLR 12/03 A3019 RMK AO2 SLP172 T01220033,KEKO,2025-07-05T10:56:00Z,40.824,-115.786,12.2,3.3,100,3,,10+,30.19,1017.2,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1541
KEHR 051056Z AUTO 00000KT 1 3/4SM BR CLR 19/18 A3008 RMK AO2 VIS 1 1/4V2 1/2 SLP183 T01940183,KEHR,2025-07-05T10:56:00Z,37.8066,-87.6824,19.4,18.3,0,0,,1.75,30.08,1018.3,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,117
KEGE 051056Z AUTO 15004KT 10SM -RA CLR 14/06 A3035 RMK AO2 RAB56 SLP192 P0000 T01440056 $,KEGE,2025-07-05T10:56:00Z,39.6448,-106.918,14.4,5.6,150,4,,10+,30.35,1019.2,,TRUE,TRUE,TRUE,,,,,-RA,CLR,,,,,,,,VFR,,,,,,0.005,,,,,,METAR,1993
KEEN 051056Z AUTO 00000KT 9SM CLR 12/11 A3018 RMK AO2 SLP221 T01170111 $,KEEN,2025-07-05T10:56:00Z,42.898,-72.2695,11.7,11.1,0,0,,9,30.18,1022.1,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,143
KEED 051056Z AUTO 23007KT 10SM CLR 31/12 A2992 RMK AO2 SLP096 T03060122,KEED,2025-07-05T10:56:00Z,34.7678,-114.618,30.6,12.2,230,7,,10+,29.92,1009.6,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,271
KEAU 051056Z 18007KT 10SM CLR 24/20 A2985 RMK AO2 SLP101 T02440200,KEAU,2025-07-05T10:56:00Z,44.8665,-91.4881,24.4,20,180,7,,10+,29.85,1010.1,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,271
KEAR 051056Z AUTO 22005KT 10SM CLR 19/17 A2995 RMK AO2 SLP125 T01940167,KEAR,2025-07-05T10:56:00Z,40.7193,-99.0086,19.4,16.7,220,5,,10+,29.95,1012.5,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,649
KDYR 051056Z AUTO 00000KT 2 1/2SM BR CLR 21/ A3007 RMK AO2 SLP187 T0211,KDYR,2025-07-05T10:56:00Z,35.9957,-89.4057,21.1,,0,0,,2.5,30.07,1018.7,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,98
KDWU 051056Z AUTO 00000KT 1 1/2SM BR CLR 20/ A3013 RMK AO2 SLP200 T0200,KDWU,2025-07-05T10:56:00Z,38.556,-82.7375,20,,0,0,,1.5,30.13,1020,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,165
KDVL 051056Z AUTO 35013KT 10SM BKN065 17/11 A2995 RMK AO2 SLP140 T01720106,KDVL,2025-07-05T10:56:00Z,48.1136,-98.9034,17.2,10.6,350,13,,10+,29.95,1014,,TRUE,TRUE,,,,,,,BKN,6500,,,,,,,VFR,,,,,,,,,,,,METAR,439
KDUG 051056Z AUTO 08004KT 10SM CLR 21/17 A3019 RMK AO2 SLP151 T02110172 $,KDUG,2025-07-05T10:56:00Z,31.4725,-109.602,21.1,17.2,80,4,,10+,30.19,1015.1,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1260
KDIK 051056Z AUTO 01006KT 10SM SCT055 15/09 A3004 RMK AO2 SLP160 T01500094,KDIK,2025-07-05T10:56:00Z,46.7997,-102.797,15,9.4,10,6,,10+,30.04,1016,,TRUE,TRUE,,,,,,,SCT,5500,,,,,,,VFR,,,,,,,,,,,,METAR,788
KDIJ 051056Z AUTO 00000KT 10SM CLR 07/05 A3024 RMK AO2 SLP192 T00720050 $,KDIJ,2025-07-05T10:56:00Z,43.745,-111.091,7.2,5,0,0,,10+,30.24,1019.2,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1896
KDAY 051056Z 16003KT 3SM HZ FEW250 23/19 A3013 RMK AO2 SLP193 T02280194,KDAY,2025-07-05T10:56:00Z,39.9064,-84.2185,22.8,19.4,160,3,,3,30.13,1019.3,,,TRUE,,,,,,HZ,FEW,25000,,,,,,,MVFR,,,,,,,,,,,,METAR,303
KD95 051056Z AUTO 00000KT 2SM BR CLR 19/19 A3007 RMK AO2,KD95,2025-07-05T10:56:00Z,43.0675,-83.2702,19,19,0,0,,2,30.07,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,253
KD07 051056Z AUTO 01009KT 17/12 A2999 RMK AO1 SLP142 T01670117 $,KD07,2025-07-05T10:56:00Z,45.0326,-102.02,16.7,11.7,10,9,,,29.99,1014.2,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,786
KCXY 051056Z 00000KT 8SM CLR 17/16 A3018 RMK AO2 SLP220 T01670156,KCXY,2025-07-05T10:56:00Z,40.2184,-76.8552,16.7,15.6,0,0,,8,30.18,1022,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,102
KCWI 051056Z AUTO 15007KT 10SM CLR 22/21 A3000 RMK AO2 SLP156 T02220206,KCWI,2025-07-05T10:56:00Z,41.8295,-90.3328,22.2,20.6,150,7,,10+,30.00,1015.6,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,212
KCVO 051056Z AUTO 31005KT 10SM CLR 11/08 A3023 RMK AO2 SLP239 T01060083,KCVO,2025-07-05T10:56:00Z,44.5013,-123.293,10.6,8.3,310,5,,10+,30.23,1023.9,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,75
KCVN 051056Z AUTO 14003KT 1/4SM FG OVC002 20/20 A3005 RMK AO2 SLP125 T02000200 $,KCVN,2025-07-05T10:56:00Z,34.4227,-103.08,20,20,140,3,,0.25,30.05,1012.5,,TRUE,TRUE,TRUE,,,,,FG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,METAR,1278
KCTB 051056Z AUTO 08007KT 10SM OVC040 12/11 A3004 RMK AO2 SLP151 T01220106,KCTB,2025-07-05T10:56:00Z,48.6036,-112.377,12.2,10.6,80,7,,10+,30.04,1015.1,,TRUE,TRUE,,,,,,,OVC,4000,,,,,,,VFR,,,,,,,,,,,,METAR,1172
KCOE 051056Z AUTO 05005KT 10SM -RA OVC080 14/12 A3013 RMK AO2 SLP206 T01440122 PNO $,KCOE,2025-07-05T10:56:00Z,47.7719,-116.833,14.4,12.2,50,5,,10+,30.13,1020.6,,TRUE,TRUE,TRUE,,,,,-RA,OVC,8000,,,,,,,VFR,,,,,,,,,,,,METAR,693
KCOD 051056Z AUTO 17003KT 10SM CLR 12/09 A3018 RMK AO2 SLP188 T01170094,KCOD,2025-07-05T10:56:00Z,44.52,-109.027,11.7,9.4,170,3,,10+,30.18,1018.8,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1550
KCIU 051056Z AUTO 18004KT 10SM CLR 20/19 A2995 RMK AO2 SLP140 T02000189 PNO $,KCIU,2025-07-05T10:56:00Z,46.2531,-84.4773,20,18.9,180,4,,10+,29.95,1014,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,242
KCHS 051056Z 01009KT 10SM BKN007 BKN130 BKN220 23/22 A2999 RMK AO2 SLP155 T02330222 $,KCHS,2025-07-05T10:56:00Z,32.8994,-80.0407,23.3,22.2,10,9,,10+,29.99,1015.5,,,TRUE,TRUE,,,,,,BKN,700,BKN,13000,BKN,22000,,,IFR,,,,,,,,,,,,METAR,12
KCGZ 051056Z AUTO 25006KT 10SM FEW100 29/18 A3001 RMK AO2 SLP144 T02890183 $,KCGZ,2025-07-05T10:56:00Z,32.9531,-111.773,28.9,18.3,250,6,,10+,30.01,1014.4,,TRUE,TRUE,TRUE,,,,,,FEW,10000,,,,,,,VFR,,,,,,,,,,,,METAR,444
KCEC 051056Z AUTO 00000KT 10SM OVC007 12/11 A3018 RMK AO2 SLP221 T01220106,KCEC,2025-07-05T10:56:00Z,41.7836,-124.238,12.2,10.6,0,0,,10+,30.18,1022.1,,TRUE,TRUE,,,,,,,OVC,700,,,,,,,IFR,,,,,,,,,,,,METAR,17
KCAE 051056Z 02007KT 9SM FEW200 SCT250 23/21 A3007 RMK AO2 SLP181 T02330206 $,KCAE,2025-07-05T10:56:00Z,33.9422,-81.118,23.3,20.6,20,7,,9,30.07,1018.1,,,TRUE,TRUE,,,,,,FEW,20000,SCT,25000,,,,,VFR,,,,,,,,,,,,METAR,69
KBZN 051056Z AUTO 15005KT 10SM CLR 08/08 A3014 RMK AO2 SLP177 T00830078,KBZN,2025-07-05T10:56:00Z,45.7876,-111.162,8.3,7.8,150,5,,10+,30.14,1017.7,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1349
KBVX 051056Z AUTO 00000KT 5SM BR CLR 21/21 A3008 RMK AO2 SLP181 T02110206,KBVX,2025-07-05T10:56:00Z,35.7259,-91.6517,21.1,20.6,0,0,,5,30.08,1018.1,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,137
KBTP 051056Z AUTO 00000KT 5SM BR FEW070 18/18 A3018 RMK AO2 SLP217 T01780178 $,KBTP,2025-07-05T10:56:00Z,40.7765,-79.9568,17.8,17.8,0,0,,5,30.18,1021.7,,TRUE,TRUE,TRUE,,,,,BR,FEW,7000,,,,,,,MVFR,,,,,,,,,,,,METAR,375
KBOK 051056Z AUTO 00000KT 10SM OVC002 10/10 RMK AO2 SLPNO T01000100 PNO $,KBOK,2025-07-05T10:56:00Z,42.0754,-124.29,10,10,0,0,,10+,0.00,,,TRUE,TRUE,TRUE,,,,,,OVC,200,,,,,,,LIFR,,,,,,,,,,,,METAR,140
KBMI 051056Z COR 20006KT 10SM CLR 21/19 A3008 RMK AO2 SLP174 T02060194,KBMI,2025-07-05T10:56:00Z,40.4777,-88.9144,20.6,19.4,200,6,,10+,30.08,1017.4,TRUE,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,262
KBKX 051056Z AUTO 20005KT 10SM BKN006 OVC015 22/21 A2984 RMK AO2 CIG 005V010 SLP100 T02170206,KBKX,2025-07-05T10:56:00Z,44.3075,-96.8183,21.7,20.6,200,5,,10+,29.84,1010,,TRUE,TRUE,,,,,,,BKN,600,OVC,1500,,,,,IFR,,,,,,,,,,,,METAR,494
KBJJ 051056Z AUTO 00000KT 10SM CLR 21/18 A3015 RMK AO2 SLP200 T02110178,KBJJ,2025-07-05T10:56:00Z,40.8732,-81.8886,21.1,17.8,0,0,,10+,30.15,1020,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,338
KBID 051056Z AUTO 00000KT 8SM CLR 18/17 A3016 RMK AO2 SLP213 T01830167 $,KBID,2025-07-05T10:56:00Z,41.1668,-71.5757,18.3,16.7,0,0,,8,30.16,1021.3,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,32
KBHB 051056Z AUTO 00000KT 10SM CLR 18/13 A3006 RMK AO2 SLP179 T01830128,KBHB,2025-07-05T10:56:00Z,44.4549,-68.3617,18.3,12.8,0,0,,10+,30.06,1017.9,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,21
KAWO 051056Z AUTO 34005KT 10SM 13/09 A3021 RMK AO2 SLP234 T01330094 $,KAWO,2025-07-05T10:56:00Z,48.1584,-122.159,13.3,9.4,340,5,,10+,30.21,1023.4,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,38
KAUO 051056Z AUTO 33004KT 10SM CLR 22/21 A3008 RMK AO2 SLP173 T02220211 $,KAUO,2025-07-05T10:56:00Z,32.617,-85.4342,22.2,21.1,330,4,,10+,30.08,1017.3,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,231
KASH 051056Z 00000KT 10SM CLR 14/11 A3014,KASH,2025-07-05T10:56:00Z,42.7798,-71.5141,14,11,0,0,,10+,30.14,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,56
KART 051056Z AUTO 08003KT 10SM CLR 13/11 A3013 RMK AO2 SLP199 T01280111 PNO $,KART,2025-07-05T10:56:00Z,43.9888,-76.0261,12.8,11.1,80,3,,10+,30.13,1019.9,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,100
KARG 051056Z AUTO 03004KT 5SM BR CLR 22/22 A3006 RMK AO2 SLP178 T02220222,KARG,2025-07-05T10:56:00Z,36.1256,-90.9216,22.2,22.2,30,4,,5,30.06,1017.8,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,82
KAND 051056Z AUTO 03004KT 7SM CLR 23/19 A3012 RMK AO2 SLP189 T02280189,KAND,2025-07-05T10:56:00Z,34.498,-82.7092,22.8,18.9,30,4,,7,30.12,1018.9,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,233
KALK 051056Z AUTO 25011KT 10SM CLR 21/17 A3025 RMK AO2 SLP148 T02060167,KALK,2025-07-05T10:56:00Z,31.606,-110.428,20.6,16.7,250,11,,10+,30.25,1014.8,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1451
KAJO 051056Z AUTO 00000KT 4SM BR CLR 13/12 A3005 RMK AO2 SLP168 T01330122,KAJO,2025-07-05T10:56:00Z,33.8956,-117.596,13.3,12.2,0,0,,4,30.05,1016.8,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,161
KAIZ 051056Z AUTO 15004KT 10SM CLR 22/21 A3004 RMK AO2 SLP164 T02170206,KAIZ,2025-07-05T10:56:00Z,38.1005,-92.5475,21.7,20.6,150,4,,10+,30.04,1016.4,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,263
KAFJ 051056Z AUTO 00000KT 10SM CLR 17/17 A3020 RMK AO2 SLP220 T01720167 $,KAFJ,2025-07-05T10:56:00Z,40.1362,-80.2851,17.2,16.7,0,0,,10+,30.20,1022,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,360
KADF 051056Z AUTO 3SM BR CLR 22/22 A3004 RMK AO2 SLP168 T02220222,KADF,2025-07-05T10:56:00Z,34.0953,-93.069,22.2,22.2,,,,3,30.04,1016.8,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,54
K8D3 051056Z AUTO 00000KT 21/21 A2979 RMK AO1 SLP067 T02110206 $,K8D3,2025-07-05T10:56:00Z,45.669,-96.9918,21.1,20.6,0,0,,,29.79,1006.7,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,535
K79J 051056Z AUTO 00000KT 10SM CLR 24/22 A3001 RMK AO2 SLP158 T02390217 TSNO,K79J,2025-07-05T10:56:00Z,31.3061,-86.3902,23.9,21.7,0,0,,10+,30.01,1015.8,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,93
K2WX 051056Z AUTO 04005KT 17/11 A3003 RMK AO1 SLP149 T01670111,K2WX,2025-07-05T10:56:00Z,45.6043,-103.547,16.7,11.1,40,5,,,30.03,1014.9,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,925
K1M4 051056Z AUTO 00000KT 3SM BR CLR 21/21 A3010 RMK AO2 SLP949 T02060206 $,K1M4,2025-07-05T10:56:00Z,34.2832,-87.5986,20.6,20.6,0,0,,3,30.10,994.9,,TRUE,TRUE,TRUE,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,283
CYMH 051056Z AUTO 36005KT 340V050 4SM BR BKN006 OVC010 07/06 A2994 RMK SLP141,CYMH,2025-07-05T10:56:00Z,52.304,-55.833,7,6,360,5,,4,29.94,1014.1,,TRUE,,,,,,,BR,BKN,600,OVC,1000,,,,,IFR,,,,,,,,,,,,SPECI,18
TXKF 051055Z 22005KT 9999 VCSH FEW028 SCT240 BKN300 27/24 Q1022 ,TXKF,2025-07-05T10:55:00Z,32.364,-64.679,27,24,220,5,,6+,30.18,,,,,,,,,,VCSH,FEW,2800,SCT,24000,BKN,30000,,,VFR,,,,,,,,,,,,METAR,4
RKSO 051055Z AUTO 25007KT 9SM CLR 28/24 A2964 RMK AO2 SLP040 T02820235 FZRANO $,RKSO,2025-07-05T10:55:00Z,37.091,127.03,28.2,23.5,250,7,,9,29.64,1004,,TRUE,TRUE,TRUE,,,TRUE,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,10
RKSG 051055Z 26006KT 10SM SCT200 28/23 A2965 RMK AO2A SLP043 T02830234 TSNO $,RKSG,2025-07-05T10:55:00Z,36.962,127.031,28.3,23.4,260,6,,10+,29.65,1004.3,,,TRUE,TRUE,,TRUE,,,,SCT,20000,,,,,,,VFR,,,,,,,,,,,,METAR,12
RKJK 051055Z 21008KT 10SM SCT200 28/24 A2967 RMK AO2A SLPNO WND DATA ESTMD T02800244 $,RKJK,2025-07-05T10:55:00Z,35.9,126.618,28,24.4,210,8,,10+,29.67,,,,TRUE,TRUE,,,,,,SCT,20000,,,,,,,VFR,,,,,,,,,,,,METAR,8
RJTY 051055Z 30005KT 8SM +TSRA OVC025 27/24 A2973 RMK AO2A RAE0955DZB12E18RAB18 TSE0955TSB09 CIG 019 RWY36 SLP067 P0000 T02660244 $,RJTY,2025-07-05T10:55:00Z,35.749,139.349,26.6,24.4,300,5,,8,29.73,1006.7,,,TRUE,TRUE,,,,,+TSRA,OVC,2500,,,,,,,MVFR,,,,,,0.005,,,,,,METAR,136
RJTR 051055Z AUTO 28004KT 4SM -RA SCT055 OVC070 28/24 A2969 RMK AO2 LTG DSNT N RAE0955RAB43 SLP052 P0001 T02750241 $,RJTR,2025-07-05T10:55:00Z,35.514,139.395,27.5,24.1,280,4,,4,29.69,1005.2,,TRUE,TRUE,TRUE,,,,,-RA,SCT,5500,OVC,7000,,,,,MVFR,,,,,,0.01,,,,,,METAR,106
PWAK 051055Z AUTO 10010KT 10SM SCT220 27/24 A2995 RMK AO2 RAB0955E11 SLP145 P0001 T02710239,PWAK,2025-07-05T10:55:00Z,19.287,166.623,27.1,23.9,100,10,,10+,29.95,1014.5,,TRUE,TRUE,,,,,,,SCT,22000,,,,,,,VFR,,,,,,0.01,,,,,,METAR,7
PTYA 051055Z 00000KT 12SM SCT016 BKN300 27/26 A2986 RMK SLP112 T02730255,PTYA,2025-07-05T10:55:00Z,9.487,138.077,27.3,25.5,0,0,,12,29.86,1011.2,,,,,,,,,,SCT,1600,BKN,30000,,,,,VFR,,,,,,,,,,,,METAR,4
PGUA 051055Z 00000KT 10SM CLR 28/24 A2993 RMK AO2A SLP126 T02750237 $,PGUA,2025-07-05T10:55:00Z,13.583,144.918,27.5,23.7,0,0,,10+,29.93,1012.6,,,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,159
PASY 051055Z AUTO 35005KT 1 1/2SM BR OVC001 08/08 A2981 RMK AO2 SLP098 T00780077 FZRANO $,PASY,2025-07-05T10:55:00Z,52.711,174.107,7.8,7.7,350,5,,1.5,29.81,1009.8,,TRUE,TRUE,TRUE,,,TRUE,,BR,OVC,100,,,,,,,LIFR,,,,,,,,,,,,METAR,6
PASV 051055Z AUTO 28002KT 10SM CLR 09/05 A2996 RMK AO2 SLP140 T00880052,PASV,2025-07-05T10:55:00Z,61.101,-155.577,8.8,5.2,280,2,,10+,29.96,1014,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,462
PAKX 051055Z AUTO 13004KT 10SM CLR 06/05 A2997 RMK AO2,PAKX,2025-07-05T10:55:00Z,60.198,-154.323,6,5,130,4,,10+,29.97,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,88
PAIM 051055Z AUTO VRB02KT 10SM CLR 17/05 A2996 RMK AO2 SLP131 T01680052,PAIM,2025-07-05T10:55:00Z,65.994,-153.695,16.8,5.2,VRB,2,,10+,29.96,1013.1,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,309
PAFR 051055Z AUTO 00000KT 10SM FEW160 10/08 A3002 RMK AO2 SLP168 T00970083 $,PAFR,2025-07-05T10:55:00Z,61.263,-149.66,9.7,8.3,0,0,,10+,30.02,1016.8,,TRUE,TRUE,TRUE,,,,,,FEW,16000,,,,,,,VFR,,,,,,,,,,,,METAR,106
PAFB 051055Z AUTO 08005KT 10SM CLR 18/09 A2986 RMK AO2 SLP115 T01790087 $,PAFB,2025-07-05T10:55:00Z,64.836,-147.614,17.9,8.7,80,5,,10+,29.86,1011.5,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,137
PAEI 051055Z AUTO 32003KT 6SM HZ CLR 15/09 A2986 RMK AO2 SLP113 T01510088 $,PAEI,2025-07-05T10:55:00Z,64.654,-147.094,15.1,8.8,320,3,,6,29.86,1011.3,,TRUE,TRUE,TRUE,,,,,HZ,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,166
PAED 051055Z AUTO 26005KT 10SM CLR 13/09 A3000 RMK AO2 SLP155 T01300087 $,PAED,2025-07-05T10:55:00Z,61.25,-149.837,13,8.7,260,5,,10+,30.00,1015.5,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,54
PAAD 051055Z AUTO 23004KT 10SM CLR 02/02 A3000 RMK AO2 T00210015 FZRANO,PAAD,2025-07-05T10:55:00Z,70.136,-146.29,2.1,1.5,230,4,,10+,30.00,,,TRUE,TRUE,,,,TRUE,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,8
OTBH 051055Z 30027KT 8000 BLDU CLR 42/06 A2945 Q0997 RMK AO2A PK WND 30036/06 SLP973 T04191010 RVRNO $,OTBH,2025-07-05T10:55:00Z,25.117,51.315,41.9,6,300,27,,4.97,29.44,997.3,,,TRUE,TRUE,,,,,BLDU,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,40
OKAS 051055Z 33026G34KT 5000 BLDU FEW310 FEW330 43/M03 A2953 RMK SLP993 $,OKAS,2025-07-05T10:55:00Z,29.347,47.521,43,-3,330,26,34,3.11,29.53,999.3,,,,TRUE,,,,,BLDU,FEW,31000,FEW,33000,,,,,MVFR,,,,,,,,,,,,SPECI,144
NZCM 051055Z AUTO 00000KT 9999 CLR M32/M38 A2887 RMK AO2 SLP785 T13181377,NZCM,2025-07-05T10:55:00Z,-77.85,166.667,-31.8,-37.7,0,0,,6+,28.87,978.5,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,24
KZPH 051055Z AUTO 01003KT 5SM BR CLR 21/21 A2997 RMK A02 T02130212,KZPH,2025-07-05T10:55:00Z,28.2268,-82.1564,21.3,21.2,10,3,,5,29.97,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,26
KZER 051055Z AUTO 12005KT 7SM CLR 17/11 A3024 RMK AO2,KZER,2025-07-05T10:55:00Z,40.7072,-76.371,17,11,120,5,,7,30.24,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,518
KY70 051055Z AUTO 21006KT 10SM CLR 23/20 A3006 RMK AO2,KY70,2025-07-05T10:55:00Z,42.9398,-85.0653,23,20,210,6,,10+,30.06,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,247
KY63 051055Z AUTO 18003KT 10SM SCT004 BKN020 OVC030 22/21 A2982 RMK AO2 T02200210,KY63,2025-07-05T10:55:00Z,45.9891,-95.9946,22,21,180,3,,10+,29.82,,,TRUE,TRUE,,,,,,,SCT,400,BKN,2000,OVC,3000,,,MVFR,,,,,,,,,,,,METAR,367
KY51 051055Z AUTO 17004KT 10SM SCT070 22/20 A2996 RMK AO1 T02200203,KY51,2025-07-05T10:55:00Z,43.5814,-90.8997,22,20.3,170,4,,10+,29.96,,,TRUE,TRUE,,,,,,,SCT,7000,,,,,,,VFR,,,,,,,,,,,,METAR,390
KY49 051055Z AUTO 00000KT 1 1/2SM BR OVC004 20/20 A2983 RMK AO2 T01950195,KY49,2025-07-05T10:55:00Z,47.1599,-94.6433,19.5,19.5,0,0,,1.5,29.83,,,TRUE,TRUE,,,,,,BR,OVC,400,,,,,,,LIFR,,,,,,,,,,,,METAR,413
KY31 051055Z AUTO 22004KT 10SM CLR 20/20 A3003 RMK AO2 T01980197,KY31,2025-07-05T10:55:00Z,44.2434,-84.18,19.8,19.7,220,4,,10+,30.03,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,264
